Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,Street Food,4.2,68,500
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Tea,4.2,68,500
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.2,68,500
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,146,3000
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.2,146,3000
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,Gujarati,4.0,417,1000
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,  Rajasthani,4.0,417,1000
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,Street Food,4.3,66,500
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Tea,4.3,66,500
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.3,66,500
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5.0,1,1200
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,Desserts,4.8,9,500
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Ice Cream,4.8,9,500
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.8,9,500
